Jrk nr;Kvoot;Võrdlusarv;Ringkond;Nimekiri;Hääli kokku;Reg nr;Kandidaadi nimi;Mandaatide omandamise viis
50;0,4001;;4;REF;2 640;822;MARKO MIHKELSON;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
51;0,3815;;10;EKRE;2 340;630;JAAK VALGE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
52;0,3772;;5;SDE;2 254;464;MADIS KALLAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
53;0,3737;;8;SDE;2 098;488;HELMEN KÜTT;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
54;0,3667;;4;EE200;2 420;697;TOOMAS UIBO;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
55;0,3632;;2;EE200;2 090;671;MAREK REINAAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
56;0,3549;;11;SDE;1 970;516;ANTI ALLAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
57;0,3344;;10;REF;2 051;881;YOKO ALENDER;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
58;0,3338;;12;EE200;2 092;775;KADRI TALI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
59;0,3244;;2;KESK;1 867;923;VLADIMIR SVET;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
60;0,3148;;12;KESK;1 973;1025;ANDREI KOROBEINIK;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
61;0,3143;;2;KESK;1 809;929;ALEKSANDR TŠAPLÕGIN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
62;0,3047;;10;REF;1 869;882;ANTS LAANEOTS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
63;0,3021;;11;KESK;1 677;1016;ESTER KARUSE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
64;0,2952;;1;SDE;1 819;409;RAIMOND KALJULAID;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
65;0,2875;;12;EKRE;1 802;652;ALAR LANEMAN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
66;0,2703;;11;REF;1 500;892;MAIDO RUUSMANN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
67;0,2618;;7;REF;1 289;854;MEELIS KIILI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
68;0,2392;;1;REF;1 474;788;PÄRTEL-PEETER PERE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
69;0,2025;;10;SDE;1 242;506;HELJO PIKHOF;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
70;0,1891;;4;REF;1 248;824;AIVAR SÕERD;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
71;0,1887;;3;REF;1 205;814;VILJA TOOMAST;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
72;0,1565;;4;REF;1 033;826;TIMO SUSLOV;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
73;0,1523;;4;REF;1 005;825;KRISTINA ŠMIGUN-VÄHI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
74;0,1458;;4;REF;962;827;MARIO KADASTIK;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
75;0,1428;;2;KESK;822;925;MARIA JUFEREVA-SKURATOVSKI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
76;;14392,62;11;IE;1 420;390;PRIIT SIBUL;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
77;;11773,91;1;IE;1 773;284;RIINA SOLMAN;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
78;;9992,12;10;IE;2 218;380;TÕNIS LUKAS;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
79;;9963,33;5;KESK;2 162;964;JAANUS KARILAID;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
80;;9397,06;1;EE200;771;660;HENDRIK JOHANNES TERRAS;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
81;;9270,83;1;KESK;2 070;909;TANEL KIIK;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
82;;8707,88;8;SDE;1 731;487;LAURI LÄÄNEMETS;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
83;;8697,72;2;IE;1 724;296;RIHO TERRAS;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
84;;8689,25;6;EE200;876;722;TARMO TAMM;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
85;;8672,66;2;KESK;570;922;TÕNIS MÖLDER;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
86;;8669,03;9;REF;1 445;873;ERKKI KELDO;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
87;;8562,36;6;EKRE;968;600;EVELIN POOLAMETS;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
88;;8424,82;11;REF;1 428;891;EERIK-NIILES KROSS;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
89;;8194,70;4;REF;908;823;MART VÕRKLAEV;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
90;;8150,52;8;KESK;1 562;987;JAAK AAB;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
91;;8085,31;12;EE200;1 159;776;PEETER TALI;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
92;;8079,18;7;EKRE;815;604;ARVO ALLER;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
93;;7977,46;10;REF;1 286;885;SIGNE KIVI;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
94;;7832,05;3;SDE;2 531;436;RIINA SIKKUT;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
95;;7772,03;1;REF;591;795;KRISTO ENN VAGA;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
96;;7712,81;12;IE;1 607;400;ANDRES METSOJA;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
97;;7690,59;1;KESK;466;913;ANDRE HANIMÄGI;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
98;;7650,17;4;EKRE;1 016;573;RENE KOKK;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
99;;7577,46;11;REF;723;893;ANDRUS SEEME;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
100;;7563,63;2;EE200;1 731;672;LIISA-LY PAKOSTA;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
101;;7392,89;11;REF;569;896;ANTI HAUGAS;Võrdlusarvu alusel jaotatud kompensatsioonimandaadid
